"","GEOID","year","FRR_NAME","county","percf_acr","percf_op","diff"
"2986","55007",2017,"Northern Crescent","Bayfield",30.43,33.33,-2.9
"2987","55009",2017,"Northern Crescent","Brown",16.66,27.67,-11.01
"2988","55011",2017,"Northern Crescent","Buffalo",17.2,23.59,-6.39
"2989","55013",2017,"Northern Crescent","Burnett",17.95,21.57,-3.62
"2990","55015",2017,"Northern Crescent","Calumet",17.37,24.88,-7.51
"2991","55017",2017,"Northern Crescent","Chippewa",18.13,26.32,-8.19
"2992","55019",2017,"Northern Crescent","Clark",20.88,24.01,-3.13
"2993","55021",2017,"Northern Crescent","Columbia",16.45,29.43,-12.98
"2994","55023",2017,"Northern Crescent","Crawford",24.9,29.8,-4.9
"2995","55025",2017,"Northern Crescent","Dane",19.46,30.53,-11.07
"2996","55027",2017,"Northern Crescent","Dodge",20.33,23.62,-3.29
"2997","55029",2017,"Northern Crescent","Door",19.89,29.17,-9.28
"2998","55031",2017,"Northern Crescent","Douglas",24.33,32.3,-7.97
"2999","55033",2017,"Northern Crescent","Dunn",22.76,28.54,-5.78
"3000","55035",2017,"Northern Crescent","Eau Claire",26.63,29.36,-2.73
"3001","55037",2017,"Northern Crescent","Florence",21.75,32.54,-10.79
"3002","55039",2017,"Northern Crescent","Fond du Lac",16.26,23.94,-7.68
"3003","55041",2017,"Northern Crescent","Forest",33.5,31.41,2.09
"3004","55043",2017,"Northern Crescent","Grant",22.91,27.59,-4.68
"3005","55045",2017,"Northern Crescent","Green",27.72,32.8,-5.08
"3006","55047",2017,"Northern Crescent","Green Lake",12.16,21.47,-9.31
"3007","55049",2017,"Northern Crescent","Iowa",23.48,30.64,-7.16
"3008","55051",2017,"Northern Crescent","Iron",11.37,25.45,-14.08
"3009","55053",2017,"Northern Crescent","Jackson",21.38,26.84,-5.46
"3010","55055",2017,"Northern Crescent","Jefferson",22.58,26.45,-3.87
"3011","55057",2017,"Northern Crescent","Juneau",18.34,23.94,-5.6
"3012","55059",2017,"Northern Crescent","Kenosha",25.29,29.9,-4.61
"3013","55061",2017,"Northern Crescent","Kewaunee",20.15,27.52,-7.37
"3014","55063",2017,"Northern Crescent","La Crosse",26.14,26.28,-0.140000000000001
"3015","55065",2017,"Northern Crescent","Lafayette",20.77,28.91,-8.14
"3016","55067",2017,"Northern Crescent","Langlade",19.71,23.31,-3.6
"3017","55069",2017,"Northern Crescent","Lincoln",25.65,30.91,-5.26
"3018","55071",2017,"Northern Crescent","Manitowoc",20.57,25.48,-4.91
"3019","55073",2017,"Northern Crescent","Marathon",20.74,26.72,-5.98
"3020","55075",2017,"Northern Crescent","Marinette",20.48,22.5,-2.02
"3021","55077",2017,"Northern Crescent","Marquette",22.64,26.4,-3.76
"3022","55078",2017,"Northern Crescent","Menominee",NA,25,NA
"3023","55079",2017,"Northern Crescent","Milwaukee",NA,29.91,NA
"3024","55081",2017,"Northern Crescent","Monroe",22.82,28.18,-5.36
"3025","55083",2017,"Northern Crescent","Oconto",18.2,28.53,-10.33
"3026","55085",2017,"Northern Crescent","Oneida",30.33,26.25,4.08
"3027","55087",2017,"Northern Crescent","Outagamie",17.5,25.64,-8.14
"3028","55089",2017,"Northern Crescent","Ozaukee",21.85,30.63,-8.78
"3029","55091",2017,"Northern Crescent","Pepin",22.43,25.72,-3.29
"3030","55093",2017,"Northern Crescent","Pierce",18.95,28.88,-9.93
"3031","55095",2017,"Northern Crescent","Polk",24.73,29.67,-4.94
"3032","55097",2017,"Northern Crescent","Portage",16.33,26.49,-10.16
"3033","55099",2017,"Northern Crescent","Price",22.57,28.05,-5.48
