GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "01041","Crenshaw, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",269576,262314,279977,308073,363929,389430,345418,343143,330647,383412,374191,415398,435022,407405,425640,391300,414048,428869,431331
 "01041","Crenshaw, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",64.896,63.148,67.400,74.163,87.610,93.749,83.153,82.606,79.598,92.300,90.080,100.000,104.724,98.076,102.466,94.199,99.675,103.243,103.836
 "01041","Crenshaw, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",216576,209730,233725,274981,312435,331051,318153,318656,305356,361810,360821,415398,446086,422443,444383,405783,438238,453894,462069
 "01043","Cullman, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2019270,2007104,2086668,2263984,2365552,2391813,2273577,2239863,2187742,2253025,2240026,2317220,2463970,2467835,2586113,2569181,2590029,2617563,2581754
 "01043","Cullman, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",87.142,86.617,90.050,97.703,102.086,103.219,98.117,96.662,94.412,97.230,96.669,100.000,106.333,106.500,111.604,110.873,111.773,112.961,111.416
 "01043","Cullman, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1621868,1626654,1725973,1939807,2035387,2096468,2068226,2076964,2083819,2162156,2181436,2317220,2520730,2563808,2734390,2742459,2807138,2887628,2910219
 "01045","Dale, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1961951,2029985,2083853,2229018,2477128,2597425,2607136,2730994,2785304,2926926,2808403,2776547,2796128,2622451,2672910,2636685,2601275,2595137,2638931
 "01045","Dale, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",70.662,73.112,75.052,80.280,89.216,93.549,93.899,98.359,100.315,105.416,101.147,100.000,100.705,94.450,96.267,94.963,93.687,93.466,95.044
 "01045","Dale, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1469267,1566539,1667589,1834699,2098561,2277884,2360643,2522901,2643283,2820514,2760078,2776547,2849232,2727728,2839061,2828346,2836430,2884874,2997937
 "01047","Dallas, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1292444,1254453,1228856,1307220,1358939,1417480,1349123,1287005,1245428,1230359,1243234,1255691,1271439,1260799,1133806,1154622,1144189,1160260,1193935
 "01047","Dallas, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",102.927,99.901,97.863,104.104,108.222,112.884,107.441,102.494,99.183,97.983,99.008,100.000,101.254,100.407,90.293,91.951,91.120,92.400,95.082
 "01047","Dallas, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1011822,995479,988902,1080987,1146007,1229836,1215190,1181328,1179804,1183828,1218914,1255691,1307246,1320938,1216219,1250639,1267112,1306799,1368839
 "01049","DeKalb, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1677187,1695199,1717838,1841493,1798593,1915354,1859616,1807524,1707188,1727492,1556470,1604667,1764836,1767997,1846148,1749727,1877224,1944091,1879778
 "01049","DeKalb, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",104.519,105.642,107.053,114.759,112.085,119.361,115.888,112.642,106.389,107.654,96.996,100.000,109.981,110.178,115.049,109.040,116.985,121.152,117.144
 "01049","DeKalb, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1392917,1420164,1455372,1595491,1560035,1682113,1680756,1658026,1612695,1645898,1512303,1604667,1806098,1833467,1938704,1847756,2009009,2103214,2081054
 "01051","Elmore, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1067521,1145769,1222772,1343890,1386914,1425507,1473474,1486311,1512042,1570430,1558496,1567279,1631423,1591539,1619390,1651053,1675937,1694231,1709071
